"graph","embedder","pk_ratio","name"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_8","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_12","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","node2vec",0.273333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","node2vec",0.2,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","node2vec",0.2,"100-0"
