"graph","embedder","f_score","name"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_8","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_12","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","spring",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","node2vec",0.396793587174349,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","node2vec",0.333333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24","node2vec",0.400616332819723,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","node2vec",0.333333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13","node2vec",0.35047619047619,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22","node2vec",0.333333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46","node2vec",0.421296296296296,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49","node2vec",0.373056994818653,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0","node2vec",0.383495145631068,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5","node2vec",0.348888888888889,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_8","node2vec",0.314306893995552,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_12","node2vec",0.42026825633383,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","node2vec",0.351738241308793,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","node2vec",0.318840579710145,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","node2vec",0.338983050847458,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","node2vec",0.358208955223881,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","node2vec",0.401244167962675,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","node2vec",0.371020856201976,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","node2vec",0.425531914893617,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","node2vec",0.388349514563107,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","node2vec",0.311864406779661,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","node2vec",0.31055900621118,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","node2vec",0.347504621072089,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","node2vec",0.34589800443459,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","node2vec",0.330781010719755,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","node2vec",0.355056179775281,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","node2vec",0.377440347071584,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","node2vec",0.350383631713555,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","node2vec",0.362222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","node2vec",0.331182795698925,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","node2vec",0.406091370558376,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","node2vec",0.366863905325444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","node2vec",0.425837320574163,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","node2vec",0.440506329113924,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","node2vec",0.362760834670947,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","node2vec",0.354385964912281,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","node2vec",0.4,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","node2vec",0.367952522255193,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","node2vec",0.377179080824089,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","node2vec",0.36979969183359,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","node2vec",0.310344827586207,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","node2vec",0.385802469135802,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","node2vec",0.348675034867504,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","node2vec",0.314026517794836,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","node2vec",0.374193548387097,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","node2vec",0.382857142857143,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","node2vec",0.346987951807229,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","node2vec",0.332673267326733,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","node2vec",0.325036603221083,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","node2vec",0.418212478920742,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","struc2vec",0.313253012048193,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","struc2vec",0.331034482758621,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","struc2vec",0.312762973352034,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24","struc2vec",0.310988251554941,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46","struc2vec",0.313286713286713,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13","struc2vec",0.310344827586207,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22","struc2vec",0.310344827586207,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49","struc2vec",0.312283136710618,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_8","struc2vec",0.314699792960663,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5","struc2vec",0.315270935960591,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0","struc2vec",0.336016096579477,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_12","struc2vec",0.319410319410319,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","struc2vec",0.328611898016997,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","struc2vec",0.323687031082529,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","struc2vec",0.318906605922551,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","struc2vec",0.312016865776528,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","struc2vec",0.330434782608696,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","struc2vec",0.312859884836852,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","struc2vec",0.311145510835913,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","struc2vec",0.337777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","struc2vec",0.344339622641509,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","struc2vec",0.310773480662983,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","struc2vec",0.318918918918919,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","struc2vec",0.310344827586207,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","struc2vec",0.310344827586207,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","struc2vec",0.310988251554941,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","struc2vec",0.312717164697707,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","struc2vec",0.310344827586207,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","struc2vec",0.32438238453276,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","struc2vec",0.31089521165857,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","struc2vec",0.327375352775165,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","struc2vec",0.310344827586207,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","struc2vec",0.320284697508897,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","struc2vec",0.314183123877917,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","struc2vec",0.312299465240642,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","struc2vec",0.311173974540311,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","struc2vec",0.314691943127962,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","struc2vec",0.31055900621118,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","struc2vec",0.311015118790497,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","struc2vec",0.314720812182741,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","struc2vec",0.31089521165857,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","struc2vec",0.32695652173913,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","struc2vec",0.310344827586207,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","struc2vec",0.311969111969112,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","struc2vec",0.313465783664459,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","struc2vec",0.310344827586207,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","struc2vec",0.312066574202497,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","struc2vec",0.32,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","struc2vec",0.316529894490035,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","struc2vec",0.310344827586207,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_12","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_8","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_19","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_37","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_20","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_47","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_28","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_42","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_34","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_27","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_4","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_36","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_48","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_45","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_17","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_41","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_1","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_21","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_10","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_30","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_6","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_40","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_15","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_11","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_9","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_3","verse",1,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_33","verse",1,"100-0"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_7","spring",0.67644183773216,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_18","spring",0.646315789473684,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_24","spring",0.652094717668488,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_25","spring",0.652406417112299,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_22","spring",0.641379310344828,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_13","spring",0.645431684828164,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_46","spring",0.667366211962224,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_49","spring",0.662135922330097,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_0","spring",0.661493695441319,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_8","spring",0.637627432808156,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_5","spring",0.65677546983185,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_12","spring",0.651600753295668,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_2","spring",0.640776699029126,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_31","spring",0.644003777148253,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_16","spring",0.645161290322581,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_23","spring",0.655601659751037,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_43","spring",0.660835762876579,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_44","spring",0.656583629893238,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_38","spring",0.658301158301158,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_29","spring",0.637590861889927,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_35","spring",0.6796875,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_26","spring",0.649193548387097,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_14","spring",0.645962732919255,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_39","spring",0.63254113345521,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_19","spring",0.648130393096836,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_32","spring",0.666666666666667,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_20","spring",0.629254829806808,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_37","spring",0.640083945435467,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_28","spring",0.65692007797271,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_47","spring",0.666666666666667,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_34","spring",0.64,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_42","spring",0.633513513513513,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_27","spring",0.648096564531105,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_36","spring",0.637113402061856,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_48","spring",0.645951035781544,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_4","spring",0.639863130881095,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_17","spring",0.664327485380117,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_45","spring",0.652014652014652,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_41","spring",0.654690618762475,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_1","spring",0.638811513463324,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_10","spring",0.647385984427141,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_21","spring",0.663296258847321,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_30","spring",0.628166160081054,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_6","spring",0.664437012263099,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_40","spring",0.646305418719212,"90-10"
"input_data/5_10_graphs_0.9g_0.1ng/graph_sample_11","spring",0.666666666666667,"90-10"
