edgelist,group,embedder,similarity_metric,type,value
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4888888888888889
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7,5_10_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4520087242126465
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_7,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5593220338983051
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4888888888888889
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18,5_10_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3287065029144287
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5593220338983051
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4888888888888889
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25,5_10_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4480082988739013
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5593220338983051
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4888888888888889
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24,5_10_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4628245830535888
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5593220338983051
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4888888888888889
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13,5_10_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4560623168945312
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5593220338983051
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4888888888888889
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22,5_10_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3246686458587646
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5593220338983051
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4888888888888889
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46,5_10_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3905017375946045
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5593220338983051
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4888888888888889
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49,5_10_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.4022774696350097
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5593220338983051
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4888888888888889
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0,5_10_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3845715522766113
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,f_score,0.5593220338983051
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5,5_10_graphs_1.0g_0.0ng,kamada_kawai,EuclidianDistance,pk_ratio,0.4888888888888889
input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5,5_10_graphs_1.0g_0.0ng,kamada_kawai,None,time,0.3336999416351318
