edgelist,group,embedder,similarity_metric,type,value
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_2,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8808139534883721
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_2,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5406866073608398
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_2,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8344135992700734
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_15,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.858267716535433
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_15,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5675954818725586
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_15,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8011132465256082
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_49,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8594059405940593
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_49,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5715653896331787
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_49,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.7976872754073484
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_36,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8732795443758898
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_36,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5693655014038086
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_36,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8339532170630859
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_4,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8619329388560159
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_4,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.4748432636260986
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_4,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8137190708082876
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_1,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8721438988818667
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_1,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.4676859378814697
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_1,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8252662504541063
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_19,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8621700879765396
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_19,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5227680206298828
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_19,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8086833986968042
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_35,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.860048426150121
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_35,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.4854137897491455
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_35,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8237816907508558
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_38,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8922330097087378
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_38,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5407445430755615
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_38,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8512504295240363
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_43,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8714011516314779
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_43,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5549805164337158
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_43,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8288221533560717
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_29,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8665997993981946
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_29,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5400781631469727
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_29,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8220554756820951
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_16,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8652621264086232
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_16,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.4632034301757812
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_16,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8067882307965326
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_5,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8745136186770427
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_5,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.547022819519043
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_5,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8299733911225847
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_11,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8731307284129282
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_11,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5071146488189697
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_11,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8203741794265988
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_20,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.882804995196926
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_20,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5936787128448486
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_20,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.845933384943954
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_33,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.871230253709909
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_33,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.574519157409668
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_33,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.832475956426783
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_12,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8635496183206106
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_12,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.4737029075622558
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_12,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8158264856720738
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_14,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8818525519848771
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_14,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5353014469146729
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_14,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8417615213722024
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_48,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8614634146341463
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_48,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5593698024749756
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_48,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8174081410448697
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_37,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8776290630975143
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_37,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.6051125526428223
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_37,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8348936504243433
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_47,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8783783783783784
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_47,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.6119530200958252
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_47,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8309414079624805
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_7,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8577235772357723
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_7,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5175044536590576
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_7,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8084131294696055
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_8,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8635710866443274
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_8,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.546771764755249
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_8,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8238437545849703
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_0,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8713363139592647
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_0,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.596900224685669
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_0,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.825164813970554
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_9,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.875
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_9,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.428696870803833
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_9,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8243117175617176
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_46,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8629876308277831
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_46,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5564076900482178
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_46,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8036678469543744
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_22,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8759689922480621
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_22,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5949623584747314
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_22,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8185280299332024
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_26,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.872872872872873
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_26,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5878081321716309
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_26,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8193855584873464
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_31,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8673870333988212
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_31,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5567018985748291
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_31,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8177470315867882
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_17,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8661728395061729
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_17,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.60434889793396
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_17,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8114154099980345
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_44,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8673870333988214
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_44,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.5348262786865234
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_44,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,pk_ratio,0.8168400981195099
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_13,5_10_graphs_0.5g_0.5ng,kamada_kawai,EuclidianDistance,f_score,0.8613714849531328
input_data/5_10_graphs_0.5g_0.5ng/graph_sample_13,5_10_graphs_0.5g_0.5ng,kamada_kawai,None,time,0.6325209140777588
