edgelist,group,embedder,similarity_metric,type,value
input_data/geometric_graphs/graph_sample_2,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9403341288782816
input_data/geometric_graphs/graph_sample_2,geometric_graphs,kamada_kawai,None,time,0.4328281879425049
input_data/geometric_graphs/graph_sample_2,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.928031746031746
input_data/geometric_graphs/graph_sample_15,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9810298102981028
input_data/geometric_graphs/graph_sample_15,geometric_graphs,kamada_kawai,None,time,0.4460370540618896
input_data/geometric_graphs/graph_sample_15,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9941666666666668
input_data/geometric_graphs/graph_sample_49,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.981042654028436
input_data/geometric_graphs/graph_sample_49,geometric_graphs,kamada_kawai,None,time,0.4428112506866455
input_data/geometric_graphs/graph_sample_49,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9877777777777778
input_data/geometric_graphs/graph_sample_36,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.983957219251337
input_data/geometric_graphs/graph_sample_36,geometric_graphs,kamada_kawai,None,time,0.4772489070892334
input_data/geometric_graphs/graph_sample_36,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.990952380952381
input_data/geometric_graphs/graph_sample_4,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9635854341736696
input_data/geometric_graphs/graph_sample_4,geometric_graphs,kamada_kawai,None,time,0.5209915637969971
input_data/geometric_graphs/graph_sample_4,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.958904761904762
input_data/geometric_graphs/graph_sample_1,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9643705463182896
input_data/geometric_graphs/graph_sample_1,geometric_graphs,kamada_kawai,None,time,0.5064358711242676
input_data/geometric_graphs/graph_sample_1,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9798095238095236
input_data/geometric_graphs/graph_sample_19,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9781420765027322
input_data/geometric_graphs/graph_sample_19,geometric_graphs,kamada_kawai,None,time,0.4853544235229492
input_data/geometric_graphs/graph_sample_19,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9941666666666668
input_data/geometric_graphs/graph_sample_35,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.968481375358166
